symbol, name, exchange, marketCap, IPOYear, sector, industry, summary
QURE,uniQure N.V.,NASDAQ,4.1814E8,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/qure
UBCP,United Bancorp Inc.,NASDAQ,4.648E7,,Finance,Major Banks,http://www.nasdaq.com/symbol/ubcp
UBOH,United Bancshares Inc.,NASDAQ,5.676E7,,Finance,Major Banks,http://www.nasdaq.com/symbol/uboh
UBSI,United Bankshares Inc.,NASDAQ,2.9E9,,Finance,Major Banks,http://www.nasdaq.com/symbol/ubsi
UCBA,United Community Bancorp,NASDAQ,6.641E7,,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ucba
UCBI,United Community Banks Inc.,NASDAQ,1.49E9,,Finance,Major Banks,http://www.nasdaq.com/symbol/ucbi
UCFC,United Community Financial Corp.,NASDAQ,2.786E8,,Finance,Banks,http://www.nasdaq.com/symbol/ucfc
UDF,United Development Funding IV,NASDAQ,5.4965E8,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/udf
UBNK,United Financial Bancorp Inc.,NASDAQ,6.7573E8,,Finance,Banks,http://www.nasdaq.com/symbol/ubnk
UFCS,United Fire Group Inc,NASDAQ,1.0E9,,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ufcs
UIHC,United Insurance Holdings Corp.,NASDAQ,3.9482E8,,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/uihc
UNFI,United Natural Foods Inc.,NASDAQ,2.21E9,1996,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/unfi
UNTD,United Online Inc.,NASDAQ,1.7071E8,,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/untd
UBFO,United Security Bancshares,NASDAQ,8.399E7,,Finance,Major Banks,http://www.nasdaq.com/symbol/ubfo
USBI,United Security Bancshares Inc.,NASDAQ,5.209E7,,Finance,Major Banks,http://www.nasdaq.com/symbol/usbi
USLM,United States Lime & Minerals Inc.,NASDAQ,2.8004E8,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/uslm
UTHR,United Therapeutics Corporation,NASDAQ,6.9E9,1999,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/uthr
UG,United-Guardian Inc.,NASDAQ,8.526E7,,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/ug
UNTY,Unity Bancorp Inc.,NASDAQ,8.597E7,,Finance,Major Banks,http://www.nasdaq.com/symbol/unty
OLED,Universal Display Corporation,NASDAQ,2.28E9,,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/oled
UEIC,Universal Electronics Inc.,NASDAQ,7.3958E8,1993,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/ueic
UFPI,Universal Forest Products Inc.,NASDAQ,1.53E9,1993,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/ufpi
USAP,Universal Stainless & Alloy Products Inc.,NASDAQ,7.309E7,1994,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/usap
UACL,Universal Truckload Services Inc.,NASDAQ,4.4781E8,2005,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/uacl
UVSP,Univest Corporation of Pennsylvania,NASDAQ,4.0613E8,,Finance,Major Banks,http://www.nasdaq.com/symbol/uvsp
UPIP,Unwired Planet Inc.,NASDAQ,9.111E7,,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/upip
UPLD,Upland Software Inc.,NASDAQ,1.1148E8,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/upld
URRE,Uranium Resources Inc.,NASDAQ,3.045E7,,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/urre
URBN,Urban Outfitters Inc.,NASDAQ,2.85E9,1993,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/urbn
ECOL,US Ecology Inc.,NASDAQ,7.9942E8,,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/ecol
DTYS,US Trsy 10-Year Bear ETN Ipath,NASDAQ,6.369E7,,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dtys
DTYL,US Trsy 10-Year Bull ETN Ipath,NASDAQ,5430000.0,,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dtyl
DTUS,US Trsy 2-Year Bear ETN Ipath,NASDAQ,1.204E7,,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dtus
DFVS,US Trsy 5-Year Bear ETN Ipath,NASDAQ,1580000.0,,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dfvs
FLAT,US Trsy Flattener ETN Ipath,NASDAQ,4900000.0,,Finance,Commercial Banks,http://www.nasdaq.com/symbol/flat
DLBS,US Trsy Long Bond Bear ETN Ipath,NASDAQ,1.798E7,,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dlbs
DLBL,US Trsy Long Bond Bull ETN Ipath,NASDAQ,4140000.0,,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dlbl
STPP,US Trsy Steepener ETN Ipath,NASDAQ,1.443E7,,Finance,Commercial Banks,http://www.nasdaq.com/symbol/stpp
USAT,USA Technologies Inc.,NASDAQ,1.0444E8,,Miscellaneous,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/usat
USATP,USA Technologies Inc.,NASDAQ,7070000.0,,Miscellaneous,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/usatp
USAK,USA Truck Inc.,NASDAQ,2.0288E8,1992,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/usak
