symbol, name, exchange, marketCap, IPOYear, sector, industry, summary
BAP,Credicorp Ltd.,NYSE,8.92E9,,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bap
CS,Credit Suisse Group,NYSE,3.733E10,,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cs
CPG,Crescent Point Energy Corporation,NYSE,6.38E9,,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cpg
CEQP,Crestwood Equity Partners LP,NYSE,1.41E9,,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ceqp
CRH,CRH PLC,NYSE,2.369E10,,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/crh
CRT,Cross Timbers Royalty Trust,NYSE,9.36E7,1992,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crt
CAPL,CrossAmerica Partners LP,NYSE,8.062E8,2012,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/capl
CCI,Crown Castle International Corporation,NYSE,2.905E10,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cci
CCI-A,Crown Castle International Corporation,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/cci-a
CCK,Crown Holdings Inc.,NYSE,7.17E9,,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/cck
CRY,CryoLife Inc.,NYSE,2.9394E8,,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cry
CSRA$,CSRA Inc.,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/csra$
CSS,CSS Industries Inc.,NYSE,2.5594E8,,Consumer Services,Consumer: Greeting Cards,http://www.nasdaq.com/symbol/css
CST,CST Brands Inc.,NYSE,2.74E9,,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cst
CSX,CSX Corporation,NYSE,2.914E10,,Transportation,Railroads,http://www.nasdaq.com/symbol/csx
CTS,CTS Corporation,NYSE,6.1229E8,,Technology,Electrical Products,http://www.nasdaq.com/symbol/cts
CUBE,CubeSmart,NYSE,4.99E9,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cube
CUBE-A,CubeSmart,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/cube-a
CUB,Cubic Corporation,NYSE,1.21E9,,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cub
CFR,Cullen/Frost Bankers Inc.,NYSE,4.36E9,,Finance,Major Banks,http://www.nasdaq.com/symbol/cfr
CFR-A,Cullen/Frost Bankers Inc.,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/cfr-a
CFI,Culp Inc.,NYSE,3.3241E8,,Basic Industries,Textiles,http://www.nasdaq.com/symbol/cfi
CMI,Cummins Inc.,NYSE,1.753E10,,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cmi
CW,Curtiss-Wright Corporation,NYSE,3.26E9,,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cw
